annual_freight_spend,coreMarketplace.target,coreMarketplace.targetPercentage,proMarketplace.target,proMarketplace.targetPercentage,proMarketplace.saasAddOnFee,coreSaaS.fee,proSaaS.fee
"$250,000",SaaS Only,SaaS Only,SaaS Only,SaaS Only,SaaS Only,$199,$239
"$500,000",SaaS Only,SaaS Only,SaaS Only,SaaS Only,SaaS Only,$249,$299
"$1,000,000",SaaS Only,SaaS Only,SaaS Only,SaaS Only,SaaS Only,$279,$349
"$5,000,000",SaaS Only,SaaS Only,SaaS Only,SaaS Only,SaaS Only,$499,$599
"$10,000,000","$250,000",2.50%,"$250,000",2.50%,$749,"$2,199","$2,499"
"$25,000,000","$250,000",1.25%,"$250,000",1.25%,$999,"$2,599","$3,199"
"$50,000,000","$250,000",0.75%,"$250,000",0.75%,"$1,199","$3,199","$3,799"
"$75,000,000","$250,000",0.58%,"$250,000",0.58%,"$1,399","$3,699","$4,499"
"$100,000,000","$500,000",0.50%,"$500,000",0.50%,"$1,499","$4,199","$4,999"
"$125,000,000","$500,000",0.43%,"$500,000",0.43%,"$1,649","$4,499","$5,499"
"$150,000,000","$500,000",0.38%,"$500,000",0.38%,"$1,749","$4,799","$5,799"
"$175,000,000","$500,000",0.34%,"$500,000",0.34%,"$1,799","$4,999","$5,999"
"$200,000,000","$500,000",0.31%,"$500,000",0.31%,"$1,899","$5,299","$6,299"
"$225,000,000","$500,000",0.29%,"$500,000",0.29%,"$1,999","$5,499","$6,599"
"$250,000,000","$500,000",0.28%,"$500,000",0.28%,Custom,Custom,Custom
"$275,000,000","$500,000",0.26%,"$500,000",0.26%,Custom,Custom,Custom
"$300,000,000","$500,000",0.25%,"$500,000",0.25%,Custom,Custom,Custom
"$325,000,000","$500,000",0.24%,"$500,000",0.24%,Custom,Custom,Custom
"$350,000,000","$500,000",0.23%,"$500,000",0.23%,Custom,Custom,Custom
"$375,000,000","$500,000",0.23%,"$500,000",0.23%,Custom,Custom,Custom
"$400,000,000","$500,000",0.22%,"$500,000",0.22%,Custom,Custom,Custom
"$425,000,000","$500,000",0.21%,"$500,000",0.21%,Custom,Custom,Custom
"$450,000,000","$500,000",0.21%,"$500,000",0.21%,Custom,Custom,Custom
"$475,000,000","$500,000",0.20%,"$500,000",0.20%,Custom,Custom,Custom
"$500,000,000","$1,000,000",0.20%,"$1,000,000",0.20%,Custom,Custom,Custom
"$525,000,000","$1,000,000",0.19%,"$1,000,000",0.19%,Custom,Custom,Custom
"$550,000,000","$1,000,000",0.18%,"$1,000,000",0.18%,Custom,Custom,Custom
"$575,000,000","$1,000,000",0.17%,"$1,000,000",0.17%,Custom,Custom,Custom
"$600,000,000","$1,000,000",0.17%,"$1,000,000",0.17%,Custom,Custom,Custom
"$625,000,000","$1,000,000",0.16%,"$1,000,000",0.16%,Custom,Custom,Custom
"$650,000,000","$1,000,000",0.15%,"$1,000,000",0.15%,Custom,Custom,Custom
"$675,000,000","$1,000,000",0.15%,"$1,000,000",0.15%,Custom,Custom,Custom
"$700,000,000","$1,000,000",0.14%,"$1,000,000",0.14%,Custom,Custom,Custom
"$725,000,000","$1,000,000",0.14%,"$1,000,000",0.14%,Custom,Custom,Custom
"$750,000,000","$1,000,000",0.13%,"$1,000,000",0.13%,Custom,Custom,Custom
"$775,000,000","$1,000,000",0.13%,"$1,000,000",0.13%,Custom,Custom,Custom
"$800,000,000","$1,000,000",0.13%,"$1,000,000",0.13%,Custom,Custom,Custom
"$825,000,000","$1,000,000",0.12%,"$1,000,000",0.12%,Custom,Custom,Custom
"$850,000,000","$1,000,000",0.12%,"$1,000,000",0.12%,Custom,Custom,Custom
"$875,000,000","$1,000,000",0.11%,"$1,000,000",0.11%,Custom,Custom,Custom
"$900,000,000","$1,000,000",0.11%,"$1,000,000",0.11%,Custom,Custom,Custom
"$925,000,000","$1,000,000",0.11%,"$1,000,000",0.11%,Custom,Custom,Custom
"$950,000,000","$1,000,000",0.11%,"$1,000,000",0.11%,Custom,Custom,Custom
"$975,000,000","$1,000,000",0.10%,"$1,000,000",0.10%,Custom,Custom,Custom
"$1,000,000,000","$1,000,000",0.10%,"$1,000,000",0.10%,Custom,Custom,Custom
"$1,025,000,000","$1,000,000",0.10%,"$1,000,000",0.10%,Custom,Custom,Custom
"$1,050,000,000","$1,000,000",0.10%,"$1,000,000",0.10%,Custom,Custom,Custom
"$1,075,000,000","$1,000,000",0.09%,"$1,000,000",0.09%,Custom,Custom,Custom
"$1,100,000,000","$1,000,000",0.09%,"$1,000,000",0.09%,Custom,Custom,Custom
"$1,125,000,000","$1,000,000",0.09%,"$1,000,000",0.09%,Custom,Custom,Custom
"$1,150,000,000","$1,000,000",0.09%,"$1,000,000",0.09%,Custom,Custom,Custom
"$1,175,000,000","$1,000,000",0.09%,"$1,000,000",0.09%,Custom,Custom,Custom
"$1,200,000,000","$1,000,000",0.08%,"$1,000,000",0.08%,Custom,Custom,Custom
"$1,225,000,000","$1,000,000",0.08%,"$1,000,000",0.08%,Custom,Custom,Custom
"$1,250,000,000","$1,000,000",0.08%,"$1,000,000",0.08%,Custom,Custom,Custom
"$1,275,000,000","$1,000,000",0.08%,"$1,000,000",0.08%,Custom,Custom,Custom
"$1,300,000,000","$1,000,000",0.08%,"$1,000,000",0.08%,Custom,Custom,Custom
"$1,325,000,000","$1,000,000",0.08%,"$1,000,000",0.08%,Custom,Custom,Custom
"$1,350,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,375,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,400,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,425,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,450,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,475,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,500,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,525,000,000","$1,000,000",0.07%,"$1,000,000",0.07%,Custom,Custom,Custom
"$1,550,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,575,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,600,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,625,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,650,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,675,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,700,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,725,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,750,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,775,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,800,000,000","$1,000,000",0.06%,"$1,000,000",0.06%,Custom,Custom,Custom
"$1,825,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom
"$1,850,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom
"$1,875,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom
"$1,900,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom
"$1,925,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom
"$1,950,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom
"$1,975,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom
"$2,000,000,000","$1,000,000",0.05%,"$1,000,000",0.05%,Custom,Custom,Custom